name,id,office,position,professionGroup,uah,usd,gbp,eur,total,region
Матіос Анатолій Васильович,0daf8ea9-392f-42ad-a11b-aee63eb73eed,Генеральна прокуратура України,Заступник Генерального прокурора України - Головний військовий прокурор,prokuratura,22242192,784348,30000,35503,1714515,
Матусяк Сергій Володимирович,12ef65d1-a0a9-41c5-88ad-25a5571d27df,Вінницька міська рада,Заступник міського голови,golova,270458,165000,,67000,248432,Вінниця
Мацей Анатолій Опанасович,683b0e75-b495-4839-a4da-1b340f9881db,Спеціалізована державна податкова інспекція з обслуговування великих платників у м.Одесі МГУ ДФС,Начальник відділу,inspector,500000,9141,,,28371,Одеса
Мацола Роман Миколайович,7c9fee7b-4254-4563-90fc-5ca120f88f9f,Верховна Рада України,Народний депутат України ,deputat,6629315,460000,,,714973,
Медведєв Костянтин Вікторович,7fd86b5d-64d0-4a53-8833-978f9aa2458f,Васильківський міськрайонний суд Київської області,Суддя,suddia,3617875,5000,,,144149,Київ
Мельник Андрій Ярославович,86fd4fc7-6a30-4b63-a231-84d3e8441252,"Міністерство закордонних справ України, Посольство України у Німеччині",Надзвичайний і Повноважний Посол України у Федеративній Республіці Німеччина,ministerstvo,,54000,,82000,143380,
Мельник Вадим Іванович,0936762b-dc54-4cf3-a8dd-ed94e0741a87,ДФС України,начальник Головного слідчого управління,slidchi,,60000,,,60000,
Мельник Дмитро Михайлович,c451ba18-11ed-443b-ad21-d455fb67573a,Державна податкова інспекція у м. Полтаві Головного управління ДФС у Полтавській області,перший заступник начальника,inspector,9208,43463,2100,6724,53666,Полтава
Мельник Олег Володимирович,e2cbcdc7-4bd4-44de-bd67-b8bbf4d42771,Міністерство фінансів України,директор департаменту,ministerstvo,2243653,215000,,50000,355794,
Мельник Руслан Іванович,c9b9b5b0-a532-4342-9835-fa534bc968f4,Національне антикорупційне бюро України,Детектив,slidchi,,35000,,3500,38815,
Мельниченко Людмила Анатоліївна,2745ebdd-ebff-403a-a4c9-ebe6dac82f51,Дніпровський районний суд м. Києва ,суддя,suddia,36624,131858,,2226,135692,Дніпропетровськ
Мельниченко Людмила Іванівна,ad3adc44-2a7e-4b97-9476-34ddd7e6caf6,Головне управління Держпродспоживслужби в Чернігівській області,заступник начальника управління фітосанітарної безпеки - заступник головного державного фітосанітарного інспектора,inspector,700000,,,,26923,
Мельничук Артем Вікторович,910c3241-028e-4b1d-989c-bc0c036261ea,Генеральна прокуратура України,прокурор відділу організаційно-аналітичного забезпечення діяльності Генерального прокурора України Управління організаційно-аналітичного забезпечення діяльності керівництва Департаменту забезпечення діяльності керівництва Генеральної прокуратури України,prokuratura,500000,142000,,80000,248430,
Микольська Наталія Ярославівна,325a9dd2-8e15-41a7-b63c-f9bacd9ed82e,Міністерство економічного розвитку і торгівлі України,Заступник Міністра - Торговий представник України,ministerstvo,505924,85340,,15000,121148,
Мисик Володимир Юрійович,3550e3ef-71f6-4256-8063-87c364064849,Верховна Рада України,"народний депутат України, голова підкомітету з питань діяльності органів прокуратури Комітету з питань законодавчого забезпечення правоохоронної діяльності",deputat,23289568,1089000,,817000,2875282,
Михайляк Олена Юріївна,f17a3cc3-daae-4daf-abe0-7e91f0e2703a,Головне управління Державної казначейської служби України в Івано-Франківській області,заступник начальника відділу ,,1638356,1715000,,,1778013,Івано-Франківськ
Мишков Ярослав Євгенович,61de872e-7064-4221-823b-756a4ee77fae,прокуратура Харківської області,начальник другого слідчого відділу слідчого управління прокуратури Харківської області,prokuratura,216274,500000,,,508318,Харків
Мізерний Тарас Петрович,afc14002-623b-4a3c-915c-5823c9312ab6,Генеральна прокуратура України ,прокурор відділу ,prokuratura,,85000,,33571,121592,
Мілевський Андрій Петрович,478e0486-06f3-4691-9b85-ee5bb8eb8b25,Прокуратура Київської області,Заступник прокурора області,prokuratura,360000,78000,,,91846,Київ
Міленін Павло Олександрович,b64b71ed-c1de-47dd-a37d-5994ac8072a6,Київська місцева прокуратура №6,прокурор,prokuratura,,501000,,,501000,Київ
Міленін Павло Олександрович,dd6d072d-21fd-4dfa-a4cd-47cf8929b773,Прокуратура міста Києва,прокурор Київської місцевої прокуратура №6,prokuratura,,501000,,,501000,Київ
Міллер Володимир Володимирович,7dc3f0d7-92f1-4ece-b91f-25aa62efa5f8,Дніпропетровська міська рада,"Заступник міського голови з діяльності виконавчих органів, директор департаменту економіки, фінансів та міського бюджету",golova,743,150000,,,150028,Дніпропетровськ
Мініч Григорій Іванович,3a65e651-d9a8-4c27-b9c4-87b4708b20cc,Рокитнівська районна рада Рокитнівського району Рівненської області,Голова Рокитнівської районної ради Рокитнівського району Рівненської області,golova,1500000,,,90000,155792,Рівне
Мініч Олена Олександрівна,35cf40df-2952-44d8-9767-cbd10e184e75,Міністерство Економічного Розвітку та Торгівлі України,Директор Департаменту Інновацій та інтелектуальної власності,ministerstvo,,150000,,,150000,
Мінченко Галина Дмитрівна,fa13c480-ff12-4877-ac7a-86c10d61c8c6,Державна податкова інспекція у м. Сумах,начальник відділу,inspector,1993656,,,,76679,
Мінько Сергій Анатолійович,6f7f14b2-25eb-4deb-8369-b85f39b91de5,Мелітопольська міська рада Запорізької області,Міський голова,golova,316000,436500,,293500,768568,Запоріжжя
Мірошніченко Іван Володимирович,046777fa-81e1-470b-a998-1dffee19af8f,Верховна Рада України,Народний депутат України,deputat,3567943,572821,,20000,731849,
Мішалов Вячеслав Дмитрович,e2e0d0c9-11c1-4ecd-bb67-84a986333889,"Дніпопетровська міська рада м. Дніпро, Дніпропетровська область",Секретар Дніпропетровської міської ради,,12105081,1700945,50000,275000,2526275,Дніпропетровськ
Міщенко Сергій Григорович,44f61afa-7e4a-4319-a72f-5b7bf8404961,Верховна Рада України,Народний депутат України,deputat,1012768,770807,,773,810602,
Міщук Ярослав Геннадійович,9b68747e-d5d1-4366-b931-2430fb4e1ebd,Кременецька об'єднана державна податкова інспекція Головного управління ДФС у Тернопільській області,начальник,inspector,74500,8000,,14000,26125,Тернопіль
Могил Сергій Костянтинович,9e9bb6e5-e19e-4aad-bb51-ea04ee163ab7,Вищий господарський суд України,суддя,suddia,10433,262500,,26114,291365,
Мойсеєнко Олена Ігорівна,380ad052-c240-498b-8f8b-178be1498b0c,прокуратура міста Києва,прокурор Київської місцевої прокуратури № 6,prokuratura,700000,92000,,,118923,Київ
Молоток Ігор Федорович,4126e070-cdc8-4621-8110-9d41fcb61f2b,Верховна Рада України,Народний депутат України,deputat,620000,540000,,190000,770946,
Моргунов Сергій Анатолійович,f3b4cc76-6abf-4eb1-b7c9-c3a61700c719,Вінницька міська рада,Вінницький міський голова,golova,1406435,167000,,117057,348685,Вінниця
Моренко Валентина Володимирівна,41c2e393-e790-4caf-a630-efe9dedcc241,"Спеціалізована державна податкова інспекція з обслуговування великих платників у м.Дніпропетровську Міжрегіонального головного управління ДФС, код 39736283",Заступник начальника,inspector,172376,32000,,,38629,Дніпропетровськ
Мороз Павло Олександрович,61e4166c-a090-4334-bd33-1843f6f873b3,Міністерство юстиції України,заступник Міністра юстиції України з питань державної реєстрації,ministerstvo,24963,575000,,57000,638090,
Мороз Юрій Леонідович,10271d16-86fb-462b-b673-830ba9045734,Національна поліція України,Радник Голови Національної поліції,slidchi,315000,15000,,,27115,
Мороко Юрій Миколайович,679b42d0-6e5c-4487-af87-0f2fd7062d0a,Верховна Рада України,народний депутат України,deputat,14065217,1369567,,164171,2089483,
Морщагіна Наталія Станіславівна,b4eed485-e7ee-424f-93d3-1bb40d62f816,Одеський апеляційний господарський суд,"Суддя, голова Одеського апеляційного господарського суду",golova,1146995,290000,,104,334228,Одеса
Москаленко Світлана В'ячеславівна,051523ec-a3dc-47f1-9a41-9cf965ef5c10,Національна комісія з цінних паперів та фондового ринку,Начальник управління,,,520000,,,520000,
Москаленко Ярослав Миколайович,aac8901a-77c8-4ab6-957d-6b00cdbeed49,Верховна Рада України,народний депутат України,deputat,13251519,1544139,,500000,2598812,
Моторний Олександр Анатолійович,5e7fa8ae-2f4b-4a6f-ae36-4e293c27b665,Вищий адміністративний суд Укаїни,суддя,suddia,99800,175920,,5374,185616,
Мошура Олександр Васильович,aa49711f-3ab2-42e0-99dc-77655a002350,Держсільгоспінспекція в Київській області,Перший заступник начальника ,inspector,,28560,,,28560,Київ
Мудрак Ірина Володимирівна,fdbe5b30-ab0c-4f73-a659-7d8aa29519e8,Департамент Державної архітектурно-будівельної інспекції в Одеській області,завідувач сектору по роботі з ліцензіатами,inspector,,53000,,,53000,Одеса
Мудрова Ольга Миколаївна,1dde16ae-d5a5-47e0-bc92-76d8e9ea4fe0,Генеральна прокуратура України,прокурор відділу,prokuratura,500000,52636,,53928,130648,
Музичук Олександр Володимирович,e98db0c5-27c8-495f-a49a-34d78e997b0f,Слідчий відділ фінансових розслідувань ДПІ у Дніпровському районі Головного управління ДФС у м. Києві,Начальник слідчого відділу,slidchi,240000,24000,,,33230,Дніпропетровськ
Мунтян Іван Миколайович,37433c17-edc7-494e-aae4-fbfb7855f8b4,Чернівецька обласна рада,Голова Чернівецької обласної ради,golova,2550000,197000,,98000,401896,Чернівці
Мураєв Євгеній Володимирович,06cd1b30-daa2-4e13-ac1b-751d08d40071,Верховна Рада України,Народний депутат України,deputat,19480840,2000000,,1000000,3839263,
Мусієнко Олена Сергіївна,d1f936d0-0f79-4934-bb17-dad26af7770d,Державна податкова інспекція у Київському районі м.Одеси Головного управління ДФС в Одеській області ,Начальник ,inspector,739226,,,,28431,Київ
Мчедлішвілі Костянтин Юрійович,ae7488af-7174-46ee-a57f-7408ae79a58d,Національна поліція України,Помічник начальника головного управління національної поліції України в Одеській області,slidchi,210280,121332,,,129419,Одеса
Навроцький Роман Ярославович,ff4b75b7-5ecc-4ff3-8e6f-01d20a4642d9,Державна інспекція сільського господарства в Тернопільській області,Перший заступник начальника Державної інспекції сільського господарства в Тернопільській області,inspector,1100000,6000,,,48307,Тернопіль
Назаренко Дмитро Юрійович,d20473fb-f9de-4b5b-8f07-7485737010f8,Тростянецька районна державна адміністрація Сумської області,голова Тростянецької районної державної адміністрації Сумської області,golova,500000,120000,,,139230,Суми
Наливайко Олег Ігорович,a872905d-e71b-46a3-b8a5-5def1eda883d,Державний комітет телебачення і радіомовлення України,Голова,,387377,502000,,224000,761059,
Намакарський Олександр Миколайович,c9dd153c-432c-4f7f-b916-06218f05fbba, Шаргородське відідлення поліції Жмеринського відділу поліції Головного управління Національної поліції у Вінницькій області,Начальник Шаргородського відідлення поліції Жмеринського відділу поліції Головного управління Національної поліції у Вінницькій області,slidchi,957842,,,,36840,Вінниця
Наріжний Сергій Юрійович,80f53eb4-4dfe-48aa-be95-34ebe63216c9,Господарський суд Київської області,суддя,suddia,1530270,155377,,,214233,Київ
Насалик Ігор Степанович,9ef83c9e-144d-4d42-bcdd-d6e9a8326036,Міністерство енергетики та вугільної промисловості України,Міністр енергетики та вугільної промисловості України,ministerstvo,4700000,896687,40000,240000,1387056,
Насіров Роман Михайлович,1487f7e2-0d74-437c-bdae-9e00ae0aac7f,Державна фіскальна служба України,Голова Державної фіскальної служби України,,12012150,1480000,,690000,2694105,
Наталуха Дмитро Андрійович,8123e32f-caaf-422d-b87e-c27408fa6617,Лиманська районна державна адміністрації Одеської області,Голова районної державної адміністрації,golova,410506,126750,2600,5000,151108,Одеса
Науменко Оксана Леонідівна,30ab4d71-daa0-4803-89f7-aabd64b6ce03,ДПІ у Красногвардійському районі м.Дніпропетровська ГУ ДФС у Дніпропетровській області,завідувач юридичного сектору,,,417864,,,417864,Дніпропетровськ
Наумюк Сергій Анатолійович,6ac18ea6-54f0-434c-b5fc-4914ebd6fcfb,Національне антикорупційне бюро України,Керівник Четвертого підрозділу детективів Головного підрозділу детективів,slidchi,,28000,,,28000,
Неборський Євген Аркадійович,ef7b6fa0-b979-4de8-a97f-fcb65904fc47,Державна архітектурно-будівельна інспекція України,Директор Департаменту Державної архітектурно-будівельної інспекції в Одеській області,inspector,,30000,,,30000,Одеса
Невгад Віталій Вікторович,f958a35b-755a-4cae-9254-bdb00e3babf1,Головне управління Національної поліції в Донецькій області,Заступник начальника Головного управління - начальник слідчого управління ,slidchi,,34000,,,34000,Донецьк
Негой Федір Федорович,9bb5b1f0-e7ce-49bf-92f3-9906cff88fae,Верховна Рада України,Народний депутат України,deputat,13307868,,,,511841,
Недава Олег Анатолійович,db111c4f-2de3-4bbd-a408-14f9caba786f,Верховна Рада України,народний депутат,deputat,2719457,481000,35000,117000,755124,
Непорада Олег Миколайович,fe9161d9-b84e-4d8f-8e76-1e56019fe469,Малиновський районний суд м. Одеси,суддя,suddia,1145000,100000,,,144038,Одеса
Нерух Олександр Миколайович,0b3fef20-f9e3-4cc1-94f0-96e65dbfc219,Головне Управління Національної поліції в Житомирській області,Т.в.о. заступника начальника слідчого управління,slidchi,,55000,,,55000,Житомир
Нестеренко Вадим Григорович,3ce61628-2b3b-4f10-88d4-cd7c14c4096a,Верховна Рада України,Народний депутат України,deputat,9500000,6952000,,710000,8091284,
Нестерцов Анатолій Сергійович,d456b9a1-bc12-4566-b15a-0feff62792d1,Національне антикорупційне бюро України,Старший детектив,slidchi,,50000,,,50000,
Нетреба Наталія Петрівна,b7b983b3-b9a5-4b6c-83f6-e0a37e7d02c3,Державна фінансова інспекція України,Начальник Управління державного фінансового аудиту,inspector,17000,50000,,,50653,
Нечипорук Олександра Володимирівна,5aa3cd0e-72be-42f8-8bb1-308b773f165d,Спеціалізована державна податкова інспекція з обслуговування великих платників у м.Дніпропетровську МГУ ДФС,начальник управління,inspector,504785,14700,,,34114,Дніпропетровськ
Николин Ольга Несторівна,b1248e99-86c5-4b44-9ea8-02cbb2ab4261,Господарський суд Київської області,заступник керівника апарату,suddia,355000,115000,,,128653,Київ
Никоряк Олександр Дмитрович,cd0a7efd-b008-4752-a167-b1bfffee2963,Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації),заступник начальника управління - начальник відділу інспекції державного контролю об'єктів культурної спадщини та археологічного нагляду Управління збереження історичного середовища та охорони об'єктів культурної спадщини ,inspector,5299422,,,,203823,Київ
Ничипоренко Валентин Миколайович,ce31633f-d109-4c5b-91a6-4229e9df620d,Верховна Рада України,Народний депутат України,deputat,16390,473908,,5000,479988,
Нищук Євген Миколайович,d22fa5e8-b7c6-4e69-83ba-5cfa62f32f86,"Міністерство культури України (станом на 31.12.2015 - ДП ""Національний академічний драматичний театр ім. Івана Франка))",Міністр (станом на 31.12.2015 - артист драми - провідний майстер сцени),ministerstvo,,70649,,20000,92449,
Ніжинський Сергій Сергійович,8b4ed260-193a-4e83-a0ee-b8dfad0a3f4a,Міністерство аграрної політики та продовольства ,Заступник директора департаменту правової та законопроектної роботи,ministerstvo,4500000,,,,173076,
Нікітенко Микола Павлович,6d799a51-ec70-4967-a884-841ca4c1961e,Краснокутська районна рада,Голова районної ради,golova,3315012,,,,127500,
Ніколенко Михайло Олександрович,67e8c841-de4e-44c3-9111-a73bca611989,ГОСПОДАРСЬКИЙ СУД ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,суддя,suddia,700000,200000,,,226923,Дніпропетровськ
Новинський Вадим Владиславович,dfaea2de-be61-47b1-b424-be932fc3e184,Верховна Рада України,Народний депутат,deputat,4746295,2346470,,787290,3387165,
Новицька Аліна Володимирівна,ce174e5e-e093-4002-9533-57f50888ae64,Слідче управління Головного управління Національної поліції в Харківській області,Слідчий,slidchi,,45000,,3000,48270,Харків
Нос Ірина Юріївна,e072bfda-32b1-4a05-adb3-9a17ec0fae69,Кам’янка-Бузьке відділення Червоноградської об'єднаної державної податкової інспекції Головного управління ДФС у Львівській області,завідувач сектору податків і зборів з фізичних осіб,inspector,12941,25000,,,25497,Львів
Одарюк Михайло Павлович,fc97419f-ef8f-468b-835d-53136d1b7d16,Ізюмський міськрайонний суд Харківської області,Суддя,suddia,,150000,,,150000,Харків
Озеряний Дмитро Миколайович,73ab08ff-1ef6-492a-adb9-a3956e4650ef,Міністерство фінансів України,Директор департаменту Інформаційних технологій та захисту інформації,ministerstvo,44239,61126,,52813,120393,
Олексієнко Мар'яна Ігорівна,c3e823fe-72f5-4a47-9806-a68a937e3801,Господарський суд Закарпатської області,заступник керівника апарату,suddia,,160000,,,160000,Закарпаття
Олешко Володимир Іванович,a0dadaed-caae-4e71-8997-191288364a8d,ДПІ у Бабушкінському районі м. Дніпропетровська,старший слідчий,slidchi,125000,83500,,,88307,Дніпропетровськ
Омельченко Анастасія Олегівна,b349f15c-83f1-4001-8589-574b68d59c3d,Київська місцева прокуратура №6 в місті Києві,прокурор місцевої прокуратури,prokuratura,3591299,20000,,,158126,Київ
Омельянович Денис Сергійович,4d575636-e2e2-4dcb-92a8-20c9f2eb6a4e,Верховна Рада України,Народний депутат України 8 скликання,deputat,10756599,350993,,161750,941015,
Омелян Володимир Володимирович,eca7d82e-0762-4ece-9643-570d0fbc48c4,Міністерство інфраструктури України,Міністр,ministerstvo,23751,160689,,25357,189241,
Оніщук Максим Іванович,f7e1b3e1-9ca7-44d3-be52-600be9a0e396,Апеляційний суд міста Києва,суддя,suddia,130000,190000,,,195000,
Оприск Зорян Леонович,97bc71a0-de63-41c4-961a-5ee68ecc8c4c,Жовківський районний суд Львівської області,суддя,suddia,2178561,383000,,,466790,Львів
Орлов Максим Леонідович,14eda3ec-0b9e-4d2c-afd0-9532c391bae6,Головне управління Державної фіскальної служби у Дніпропетровській області,старший слідчий з особливо важливих справ контрольно-методичного відділу слідчого управління фінансових розслідувань,slidchi,816937,6720,,,38140,Дніпропетровськ
Осіпов Олександр Олександрович,816e0e31-3484-4fa7-921b-85aaa8becb79,Головне управління Національної поліції в Київській області,Заступник начальника ГУ-начальник Слідчого управління,slidchi,,30000,,5000,35450,Київ
ОСТАПЕНКО ОЛЕГ ГРИГОРОВИЧ,02d9bad9-9c85-46fd-874e-3dd7b6c0724c,Державна служба України у справах ветеранів війни та учасників антитерористичної операції,Завідувач сектору,,,1000000,,,1000000,
Остапишин Мирослав Дмитрович,f7f9a11c-ae9e-4feb-a513-fc08eeb06ba1,"Сватівська об""єднана державна податкова інспекція Головного управління ДФС в Луганській області","Перший заступник начальника Сватівської об""єднаної державної податкової інспекції ГУ ДФС в Луганській області",inspector,900000,,,,34615,Луганськ
Острович Сергій Ернестович,0de403e7-4fb2-4359-8203-351313b7120c,Вищий адміністративний суд України,Суддя,suddia,3850000,,,,148076,
Охендовський Михайло Володимирович,10d889f2-fbdb-445e-840d-7528c02b13ba,Центральна виборча комісія,Голова Центральної виборчої комісії,,2572929,525043,,697,624761,
П'ятниківський Олександр Анатолійович,a1123d81-a4e5-4908-ae4a-a6265835da84,Дарницьке УП ГУНП у м. Києві,заступник начальника управління поліції,slidchi,,42800,,,42800,
Павелко Андрій Васильович,a2f70f1c-c2b2-40cb-9f0c-a22b1951fdb8,Верховна Рада України,"Народний депутат України, Голова Комітету Верховної Ради України з питань бюджету",deputat,1629087,360221,,650462,1131881,
ПАВЛИШИН ІГОР МИРОСЛАВОВИЧ,791dc4d9-a346-4fce-979c-d681a2a8cb7c,Іршавська районна державна адміністрація Закарпатської області,Перший заступник голови,,10955000,,,,421346,Закарпаття
Павлюк Василь Михайлович,2c970d99-62d7-4513-a761-5a38d537ea4e,Міністерство закордонних справ України (Генеральне консульство України в Любліні Республіка Польща),Генеральний консул України в Любліні,ministerstvo,350000,82000,,,95461,
Палатний Артур Леонідович,1adb81a6-b84a-447f-8d3e-31105d8cf53c,Верховна Рада України,Народний депутат України,deputat,979973,581000,,8000,627411,
ПАЛИЦЯ ІГОР ПЕТРОВИЧ,59a6127c-b956-406f-a630-4a6130a36f6c,Волинська обласна рада,Голова ради,golova,23082222,750000,,,1637777,Луцьк
Панов Сергій Федорович,d703bb9c-76fb-4555-a256-5ed6e51c3071,Богодухівська районна рада Харківської області,Голова,golova,259457,309335,,50000,373814,Харків
Панченко Олександр Сергійович,69019cbb-48bc-4bc5-b256-11137cf8b9ca,Національна комісія з цінних паперів та фондового ринку,Член Комісії,,109914,2335915,,905347,3326970,
Парубій Олена Володимирівна,d50f86c9-6ec0-470a-91d7-33326328bf43,Галицька ОДПІ ГУ ДФС у Львівській області,Начальник інспекції,inspector,87000,27000,,4000,34706,Львів
Пархоменко Тімур Костянтинович,fc8319d8-5b90-4d77-96c1-cf0195637d7f,Спеціалізована Державна податкова інспекція з обслуговування великих платників у м. Харкові МГУ ДФС,Начальник відділу організації викриття економічних злочинів оперативного управління,inspector,730000,,,,28076,Харків
Пархоменко Юрій Миколайович,6c30839f-f117-4a03-b7c2-8495fcfb52a0,ДФС України,начальник ввіділу,,1420000,365000,,,419615,
Парцхаладзе Лев Ревазович,d623bac3-6cfa-4a49-9ccf-270adcc0c7f0,Київська обласна державна адміністрація,перший заступник голови,,1030615,769516,,3000,812425,Київ
Пасько Сергій Олексійович,b7aaf23c-e456-4109-bebc-0e5490c182e7,Міністерство закордонних справ,Надзвичайний і Повноважний Посол України в Йорданії,ministerstvo,57655,274650,,9350,287059,
Пасько Сергій Олексійович,94b25b7c-69aa-472e-b762-e975733e9146,Міністерство закордонних справ,Надзвичайний і Повноважний Посол України в Йорданському Хашимітському Королівстві,ministerstvo,57655,169235,,9350,181644,
Пашинський Сергій Володимирович,773abcba-e365-46ff-aee2-2a137e5db1ba,Верховна Рада України,Народний депутат України,deputat,7500000,350000,,140000,791061,
Пащенко Віктор Петрович,1c8dd525-8fab-4908-a4af-c6047c7fa127,Державна інспекція ядерного регулювання України,Заступник начальника Управління з питань ядерної захищеності та гарантій - начальник відділу фізичного захисту ядерних установок - державний інспектор,inspector,,20000,,5000,25450,
Пащенко Людмила Василівна,3cc80c5a-a4cc-4924-89e3-074ba0e35205,"Міністерство регіонального розвитку, будівництва та житлово-комунального господарства",начальник відділу державних програм та розвитку систем житлово-комунального господарства Департаменту систем життєзабезпечення та житлової політики ,ministerstvo,,120693,,,120693,
Передерко Дмитро Петрович,81459f94-0d97-46f4-af94-b9771d318ef4,Малиновський районний суд міста Одеси,суддя,suddia,,145000,,,145000,Одеса
Перцова Тетяна Сергіївна,13da9a0e-c977-4273-b7d5-4387247106bb,Харківський апеляційний адміністративний суд,суддя,suddia,552207,145077,,,166315,Харків
Петренко Павло Дмитрович,a02d391d-3dc6-4aa5-a765-6ef7942c5015,Міністерство юстиції України,Міністр юстиції України,ministerstvo,870267,1538444,,85903,1665550,
Петров Дмитро Васильович,122683b1-370d-425b-86b9-3224d0351bbd,Генеральна прокуратура України,заступник начальника Департаменту нагляду у кримінальному провадженні - начальник управління нагляду за додержанням законів національною поліцією Генеральної прокуратури України,prokuratura,,182000,,,182000,
Петухов Сергій Ігорович,8c6a037a-6adf-4279-9230-268649df3c85,Міністерство юстиції україни,Заступник міністра з питань європейської інтеграції,ministerstvo,,324000,,,324000,
Петьовка Василь Васильович,ad3e925d-7363-4ad7-b1f8-bee5f1e3bd39,Верховна Рада України,Народний депутат України,deputat,5860685,140000,,260000,648810,
Печерська Ольга Валентинівна,ab3f37a4-2120-4a22-9a67-c08609fe263d,Міністерство внутрішніх справ України Департамент фінансово-облікової політики МВС,"Заступник начальника планово-фінансвого управління - начальник відділу зведеного планування, аналізу та інформаційного супроводження бюджетного процесу",ministerstvo,31265,103073,,148,104436,
Пивовар Олександр Вікторович,9149e6b5-b3c2-4b5f-bd31-07c4d6ea287b,Головне управління Національної поліції в місті Києві,заступник начальника - начальник слідчого управління,slidchi,51000,52000,,,53961,
Пинзеник Віктор Михайлович,2afabd5d-fcbe-43ec-aa26-e9e8e77d9288,Верховна Рада України,народний депутат України,deputat,8974107,221501,,119,566788,
Писаренко Валерій Володимирович,887b230a-0d81-426c-a61d-bf3592b03713,ВЕРХОВНА РАДА УКРАЇНИ,Народний депутат України,deputat,30183737,6345906,,593787,8154046,
Пиць Надія Василівна,f48e8d85-a9f2-4493-8a7c-5fa4c394149f,Прокуратура Львівської області,прокурор відділу,prokuratura,30903,261607,,,262795,Львів
Пікалов Євген Сергійович,3a7689f6-1afb-47cc-88b0-a6a642e87d99,"Генеральна прокуратура України, Управління міжнародно-правового співробітництва та європейської інтеграції",начальник управління,prokuratura,,30000,,120822,161695,
Піковський Ігор Олександрович,30c7aa3b-0f99-4d7d-8ef7-7d1226ad0dc6,Київська міська митниця ДФС,Начальник ,,11869883,,,,456533,Київ
Пінська Ніна Олександрівна,681c44c8-8822-4093-8388-40fc94affa2c,Націальне антикорупційне бюро України,Старший детектив,slidchi,,221000,,,221000,
ПІЩАНСКИЙ МИКОЛА ГРИГОРОВИЧ,ef546c88-dedb-4f99-8eee-9fa8f804e279,Київський відділ поліції у місті Одесі Головного управління Національної поліції в Одеській області,начальник Київського відділу поліції у місті Одесі Головного управління Національної поліції в Одеській області,slidchi,230000,25000,,,33846,Київ
Плетньов Володимир Васильович,16d30a0d-8370-466f-b3a4-d5f4e95bb70d,Апеляційний суд Харківської області,суддя,suddia,,274418,,,274418,Харків
Площенко Ольга Вікторівна,2d7941ed-172c-418b-8e9b-2394eb9b47c9,Головне управління державної фіскальної служби у Дніпропетровській області ,старший слідчий з особливо важливих справ відділу розслідування кримінальних проваджень слідчого управління фінансових розслідувань ,slidchi,620000,15000,,,38846,Дніпропетровськ
Погорелов Сергій Олександрович,64616a0b-621b-4135-9708-69173da12528,Великобурлуцький відділення поліції Вовчанського ВП ГУНП Харківської області,Заступник началька відділення поліції - керівник патрульної поліції,slidchi,1000000,,,,38461,Харків
Погорельцев Сергій Олексійович,2225c471-4451-4d5e-9ad7-3a2af5007065,Міністерство закордонних справ України,Директор Департаменту консульської,ministerstvo,,30000,,77000,113930,
Подзігун Катерина Віталіївна,f51a70e2-8a38-41b3-aa82-3920bd222bfd,Державна податкова інспекція у Дніпровському районі ГУ ДФС у м. Києві,заступник начальника ДПІ ,inspector,,30000,,,30000,Дніпропетровськ
Поливяна Ірина Михайлівна,6311b895-1321-414c-90c1-3826b78ea59e,Красноармійська об'єднана державна податкова інспекція Головного управління ДФС у Донецькій області,заступник начальника інспекції,inspector,579047,,,,22271,Донецьк
Політуха Олександр Олександрович,aaf8b834-300b-4c88-934a-bd93798e0339,Дергачівська районна державна адміністрація Харківської області,Голова Дергачівської районної державної адміністрації Харківської області,golova,51426793,2011295,,773,3990091,Харків
ПОЛІЩУК НАТАЛІЯ ЄВГЕНІЇВНА,d45ac73d-0b52-40d6-ac20-f0912e154ce8,Слідче управління Головного управління національної поліції в Київській області,"старший слідчий, з 16 серпня 2014 року припинила діяльність повязану з виконанням функцій держави у звязку з перебуванням у відпустці по догляду за дитиною до 3 років",slidchi,55024,30000,,,32116,Київ
Половець Сергій Анатолійович,ed93b447-1e3e-4614-8e67-f6044742ddce,Відділ фінансових розслідувань ДПІ у Подільському районі ДФС у м. Києві,слідчий відділу фінансових розслідувань,slidchi,630000,30000,,,54230,
Полончук Юрій Олександрович,8fd8db8d-014e-46d8-b491-e2f56813d30f,Управління захисту економіки Департамент захисту економіки Національної поліції України,Заступник начальника відділу Управління захисту економіки Департамент захисту економіки Національної поліції України,slidchi,199500,55000,,35000,100823,
Полторак Степан Тимофійович,bb0efd17-caf0-4923-afb1-1f41f22224f5,Міністерство оборони України,Міністр оборони України,ministerstvo,1904012,115000,,,188231,
Пономаренко Сергій Вячеславович,29a133bf-33a8-41b2-bfca-81dfff7c94bf,Національний банк України,директор департаменту відкритих ринків,,5734508,291761,,14772,528420,
Пономарчук Дмитро Васильович,1e38ef57-e480-4bea-9621-efdc92378ac1,ГСУ ДФС України,старший слідчий з особливо важливих справ другого відділу процесуального контролю управління організації досудового розслідування Головного слідчого управління фінансових розслідувань ДФС України,slidchi,600000,6000,,,29076,
