name,office,position,professionGroup,uah,usd,gbp,eur,total,region
Наливко Анна Олександрівна,Господарський суд Львівської області,заступник начальника відділу вивчення та узагальнення судової практики та статистичної звітності,suddia,50000,41712,,,43635,Львів
Намакарський Олександр Миколайович, Шаргородське відідлення поліції Жмеринського відділу поліції Головного управління Національної поліції у Вінницькій області,Начальник Шаргородського відідлення поліції Жмеринського відділу поліції Головного управління Національної поліції у Вінницькій області,slidchi,920000,,,,35384,Вінниця
Наріжний Сергій Юрійович,Господарський суд Київської області,суддя,suddia,1530270,155377,,,214233,Київ
Насалик Ігор Степанович,Міністерство енергетики та вугільної промисловості України,Міністр енергетики та вугільної промисловості України,ministerstvo,4700000,896687,40000,240000,1387056,
Насіров Роман Михайлович,Державна фіскальна служба України,Голова Державної фіскальної служби України,,12012150,1480000,,690000,2694105,
Наставний Вячеслав Володимирович,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,суддя,suddia,174150,88000,,,94698,
Наталуха Дмитро Андрійович,Лиманська районна державна адміністрації Одеської області,Голова районної державної адміністрації,golova,410506,126750,2600,5000,151108,Одеса
Науменко Артур Олегович,Господарський суд Запорізької області ,суддя,suddia,94600,25400,,,29038,Запоріжжя
Науменко Іван Мефодійович,Дніпропетровський апеляційний господарський суд,заступник голови суду ,golova,490000,23000,,9000,51656,Дніпропетровськ
Науменко Оксана Леонідівна,ДПІ у Красногвардійському районі м.Дніпропетровська ГУ ДФС у Дніпропетровській області,завідувач юридичного сектору,,,417864,,,417864,Дніпропетровськ
Науменко Сергій Михайлович,Немирівський районний суд Вінницької області,Голова суду,suddia,1000000,,,,38461,Вінниця
Наумович Валентин Олександрович,Прокуратура міста Києва,Прокурор Київської місцевої прокуратури №6,prokuratura,,30000,,,30000,Київ
Наумюк Сергій Анатолійович,Національне антикорупційне бюро України,Керівник Четвертого підрозділу детективів Головного підрозділу детективів,slidchi,,28000,,,28000,
Невгад Віталій Вікторович,Головне управління Національної поліції в Донецькій області,Заступник начальника Головного управління - начальник слідчого управління ,slidchi,,34000,,,34000,Донецьк
Невзоров Олексій Борисович,Прокуратура Київської області,заступника начальника відділу,prokuratura,840901,17500,,3500,53657,Київ
Негой Федір Федорович,Верховна Рада України,Народний депутат України,deputat,13307868,,,,511841,
Недава Олег Анатолійович,Верховна Рада України,народний депутат,deputat,2719457,481000,35000,117000,755124,
НЕДОПАД ГРИГОРІЙ ВІКТОРОВИЧ,Ківерцівська районна рада Волинської області,Голова районної ради,golova,1726,50081,,,50147,Луцьк
Недялкова Тетяна Іванівна,Міністерство закордонних справ України,Завідуючий Сектором контролю,ministerstvo,,37000,,,37000,
Нежура Вадим Анатолійович, Апеляційний суд міста Києва Вища рада юстиції ,суддя Апеляційного суду міста Києва (член Вищої ради юстиції),suddia,6794,42025,,1314,43718,
Неклеса Олександр Вікторович,Дніпропетровський районний суд,керівник апарату Дніпропетровського районного суду,suddia,1156949,,,,44498,Дніпропетровськ
Немашкало Роман Миколайович,Генеральна прокуратура України,Заступник начальника відділу нагляду за додержанням законів та виконання судових рішень у кримінальному провадженні слідчого управління Головної військової прокуратури,prokuratura,,45000,,,45000,
Немировський Андрій Валентинович,Верховна Рада України,Народний депутат України,deputat,190000,47000,,,54307,
Немиря Григорій Михайлович,Верховна Рада України,Народний депутат України,deputat,,114863,,489,115396,
Немченко Олександр Іванович,Господарський суд Запорізької обл,"суддя, голова суду",golova,250000,11000,,9000,30425,Запоріжжя
Непоп Любов Василівна,Міністерство закордонних справ України,заступник Представника України при Європейському Союзі,ministerstvo,,,,50000,54500,
Непорада Олег Миколайович,Малиновський районний суд м. Одеси,суддя,suddia,1145000,100000,,,144038,Одеса
Нерух Олександр Миколайович,Головне Управління Національної поліції в Житомирській області,Т.в.о. заступника начальника слідчого управління,slidchi,,55000,,,55000,Житомир
Нестеренко Вадим Григорович,Верховна Рада України,Народний депутат України,deputat,9500000,6952000,,710000,8091284,
Нестеренко Олексій Геннадійович,Апарат Верховної Ради України,"заступник завідувача секретаріату депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",deputat,7195,70000,,35000,108426,
Нестерцов Анатолій Сергійович,Національне антикорупційне бюро України,Старший детектив,slidchi,,50000,,,50000,
Нетреба Наталія Петрівна,Державна фінансова інспекція України,Начальник Управління державного фінансового аудиту,inspector,17000,50000,,,50653,
Нетяжук Михайло Володимирович,Виконавчий комітет Фастівської міської ради,Фастівський міський голова,golova,,76000,,,76000,
Нефьодов Максим Євгенович,Міністерство Економічного Розвитку та Торгівлі України,заступник міністра,ministerstvo,65336,49724,,,52236,
Нечаєв Олександр Ігоревич,Верховна Рада України,Народний депутат України,deputat,2322896,269840,,484,359709,
Нечай Олександр Володимирович,Господарський суд міста Києва,суддя,suddia,898398,21454,,8688,65477,
Нечипоренко Любов Миколаївна,Секретаріат Кабінету Міністрів України,завідуюча відділом,ministerstvo,320000,17000,,,29307,
Нечипорук Олександра Володимирівна,Спеціалізована державна податкова інспекція з обслуговування великих платників у м.Дніпропетровську МГУ ДФС,начальник управління,inspector,504785,14700,,,34114,Дніпропетровськ
Нечипуренко Олександр Михайлович,Запорізький окружний адміністративний суд,суддя,suddia,1500000,,,,57692,Запоріжжя
Нечитайло Олександр Миколайович,Вищий адміністратвиний суд України,голова Вищого адміністративного суду України ,suddia,105000,57300,,,61338,
Нєганова Олена Євгеніївна,"Прокуратура Одеської області, відділ нагляду за додержанням законів органами СБУ та державної прикордонної служби",прокурор відділу,prokuratura,990000,,,,38076,Одеса
Нєсвєтова Надія Миколаївна,Вищий господарський суд України,суддя,suddia,,30000,,,30000,
Нижний Андрій Валерійович,Ленінський районний суд м. Дніпропетровська,суддя,suddia,24862,24500,,,25456,Дніпропетровськ
Николин Ольга Несторівна,Господарський суд Київської області,заступник керівника апарату,suddia,355000,115000,,,128653,Київ
Никоряк Олександр Дмитрович,Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації),заступник начальника управління - начальник відділу інспекції державного контролю об'єктів культурної спадщини та археологічного нагляду Управління збереження історичного середовища та охорони об'єктів культурної спадщини ,inspector,5299422,,,,203823,Київ
Ничипоренко Валентин Миколайович,Верховна Рада України,Народний депутат України,deputat,16390,473908,,5000,479988,
Ништа Юрій Михайлович,Теребовлянська районна державна адміністрація,голова райдержадміністрації,golova,720000,,,,27692,
Нищук Євген Миколайович,"Міністерство культури України (станом на 31.12.2015 - ДП ""Національний академічний драматичний театр ім. Івана Франка))",Міністр (станом на 31.12.2015 - артист драми - провідний майстер сцени),ministerstvo,,70649,,20000,92449,
Ніжинський Сергій Сергійович,Міністерство аграрної політики та продовольства ,Заступник директора департаменту правової та законопроектної роботи,ministerstvo,4500000,,,,173076,
Нікітенко Володимир Павлович,Гадяцька районна рада,Голова районної ради,golova,1759954,,,,67690,
Нікітюк Віктор Дементійович,Апеляційний суд Запорізької області,суддя,suddia,190000,18000,,,25307,Запоріжжя
Ніколаєва Ольга Вікторівна,Харківський окружний адміністративний суд,суддя,suddia,34451,14859,,9990,27073,Харків
Ніколайчук Григорій Анатолійович,прокуратура Львівської області,заступник начальника відділу процесуального керівництва при провадженні досудового розслідування територіальними органами поліції та підтримання державного обвинувачення управління нагляду у кримінальному провадженні ,prokuratura,,28000,,,28000,Львів
Ніколенко Михайло Олександрович,ГОСПОДАРСЬКИЙ СУД ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,суддя,suddia,700000,200000,,,226923,Дніпропетровськ
Німко Наталія Петрівна,Бережанський районний суд Тернопільської області,Суддя,suddia,1288816,,,,49569,Тернопіль
Німченко Василь Іванович,Верховна Рада України,народний депутат України,deputat,2450000,115000,,,209230,
Новак Наталія Василівна,Верховна Рада України,Народний депутат України,deputat,,25000,,234,25255,
Новик Валентина Петрівна,Святошинський районний суд м. Києва,суддя,suddia,,36500,,,36500,
Новик Людмила Григорівна,Генеральна прокуратура України,Начальник відділу правової допомоги управління міжнародно-правового співробітництва,prokuratura,726697,8435,,,36384,
Новинський Вадим Владиславович,Верховна Рада України,Народний депутат,deputat,4622016,2346470,,787290,3382385,
Новицька Аліна Володимирівна,Слідче управління Головного управління Національної поліції в Харківській області,Слідчий,slidchi,,45000,,3000,48270,Харків
Новіков Олег Миколайович,Бахмацький районний суд Чернігівської області,Суддя,suddia,,40000,,,40000,
Новіков Олег Миколайович,апеляційний суд Черкаської області,суддя,suddia,450000,3000,,5000,25757,Черкаси
Новікова Галина Валентинівна,апеляційний суд Донецької області,суддя,suddia,,25000,,,25000,Донецьк
Новікова Наталія Анатоліївна,господарський суд Харківської області,суддя,suddia,300000,43000,,,54538,Харків
Нога Любов Ігорівна,Апарат Верховної Ради України,"заступник завідувача секретаріату депутатської групи ""Партія ""Відродження""",deputat,830000,,,12000,45003,
Нос Ірина Юріївна,Кам’янка-Бузьке відділення Червоноградської об'єднаної державної податкової інспекції Головного управління ДФС у Львівській області,завідувач сектору податків і зборів з фізичних осіб,inspector,12941,25000,,,25497,Львів
Нос Степан Петрович,Львівський апеляційний адміністративний суд,суддя,suddia,12941,25000,,,25497,Львів
Овчаренко Станіслав Анатолійович,Черкаська міська рада,перший заступник міського голови з питань діяльності виконавчих органів ради,golova,473137,70000,,,88197,Черкаси
Овчиннікова Ольга Сергіївна,Волноваський районний суд Донецької області,суддя,suddia,200000,61500,,,69192,Донецьк
Оганезов Михайло Саркісович,Прокуратура Малиновського району м.Одеси,прокурор прокуратури,prokuratura,1978000,,,,76076,Одеса
Огієнко Дмитро Валерійович,Зачепилівський районний суд Харківської області,Суддя,suddia,,57500,,,57500,Харків
ОДАРЧЕНКО ЮРІЙ ВІТАЛІЙОВИЧ,Верховна Рада України,Народний депутат України,deputat,300000,130000,,,141538,
Одарюк Михайло Павлович,Ізюмський міськрайонний суд Харківської області,Суддя,suddia,,150000,,,150000,Харків
Одинак Олександр Олександрович,Апеляційний суд Чернівецької області,суддя,suddia,10888,25000,,,25418,Чернівці
Озеряний Дмитро Миколайович,Міністерство фінансів України,Директор департаменту Інформаційних технологій та захисту інформації,ministerstvo,44239,61126,,52813,120393,
Озерянська Жанна Миколаївна,Дніпропетровський районний суд Дніпропетровської області,суддя,suddia,2469816,,,,94992,Дніпропетровськ
Оксенюк Михайло Миколайович,Козельщинський райнний суд Полтавської області ,Суддя,suddia,,27755,,,27755,Полтава
Оксюта Тарас Григорович,Солом'янський районний суд м. Києва,заступник голови суду,suddia,1,25000,,,25000,
Олексієнко Мар'яна Ігорівна,Господарський суд Закарпатської області,заступник керівника апарату,suddia,,160000,,,160000,Закарпаття
Олешко Володимир Іванович,ДПІ у Бабушкінському районі м. Дніпропетровська,старший слідчий,slidchi,125000,83500,,,88307,Дніпропетровськ
Олійник Денис Олександрович,прокуратура міста Києва,прокурор відділу нагляду за додержанням законів при розслідуванні злочинів проти життя управління нагляду у кримінальному провадженні,prokuratura,2096000,,,,80615,
Олійник Ігор Іванович,Закарпатська митниця ДФС,головний державний інспектор управління адміністрування митних платежів та митно-тарифного регулювання,ministerstvo,,46300,,,46300,Закарпаття
Олійник Оксана Вікторівна,Охтирський міськрайонний суд Сумської області,суддя,suddia,391614,7301,,3002,25635,Суми
Олійник Олександр Миколайович,Міністерство юстиції України,директор Департаменту,ministerstvo,,63000,,,63000,
Олійник Петро Володимирович,Костопільський районний суд Рівненської області,суддя,suddia,112937,20790,,,25133,Рівне
Ольховський Євген Борисович,Ленінський районний суд,суддя,suddia,945000,,,,36346,
Ольшанченко Володимир Іванович,господарський суд Харківської області,суддя,suddia,317248,60000,,,72201,Харків
Омельченко Анастасія Олегівна,Київська місцева прокуратура №6 в місті Києві,прокурор місцевої прокуратури,prokuratura,3591299,20000,,,158126,Київ
Омельянович Денис Сергійович,Верховна Рада України,Народний депутат України 8 скликання,deputat,10756599,350993,,161750,941015,
Омелян Володимир Володимирович,Міністерство інфраструктури України,Міністр,ministerstvo,,160000,,25000,187250,
Оніщук Максим Іванович,Апеляційний суд міста Києва,суддя,suddia,130000,190000,,,195000,
Онофрійчук Петро Васильович,Дніпровська районна в місті Києві державна адміністрація,голова Дніпровської районної в місті Києві державної адміністрації,golova,,55000,,,55000,Дніпропетровськ
Оприск Зорян Леонович,Жовківський районний суд Львівської області,суддя,suddia,2178561,383000,,,466790,Львів
Оратівський Володимир Володимирович,Міністерство закордонних справ України,радник Місії України при НАТО,ministerstvo,5457,,,25000,27459,
Орел Анатолій Іванович,Апеляційний суд Київської області,суддя,suddia,2063373,,,,79360,Київ
Орендівська Олена Степанівна,"Міністерство юстиції України, Департамент міжнародного права",Начальник відділу правової експертизи міжнародних договорів,ministerstvo,74000,28000,,,30846,
Оринчук Богдан Олексійович,Генеральна прокуратура України,"Прокурор відділу процесуального керівництва у кримінальних провадженнях управління з питань представництва інтересів громадянина або держави в суді, протидії злочинності та корупції на тимчасово окупованій території півострова Крим Генеральної прокуратури України",prokuratura,,37000,,15000,53350,Крим
Орленко Валентина Іванівна,Черкаський окружний адміністративний суд,Суддя Черкського окружного адміністративного суду,suddia,,30000,,,30000,Черкаси
Орленко Володимир Васильович,Соснівський районний суд м. Черкаси ,"суддя, голова суду ",suddia,,30000,,,30000,Черкаси
Орлов Максим Леонідович,Головне управління Державної фіскальної служби у Дніпропетровській області,старший слідчий з особливо важливих справ контрольно-методичного відділу слідчого управління фінансових розслідувань,slidchi,816937,6720,,,38140,Дніпропетровськ
Орловська Лідія Володимирівна,Херсонська місцева прокуратура Херсонської області,прокурор,prokuratura,415348,10100,,175,26265,Херсон
Орловська Наталія Володимирівна,Апеляційний суд Херсонської області,Суддя,suddia,415348,10100,,175,26265,Херсон
Осадча Наталія Миколаївна,Валківська районна державна адміністрація Харківської області,Заступник голови Валківської районної державної адміністрації Харківської області,golova,327590,40000,,,52599,Харків
Осіпов Олександр Олександрович,Головне управління Національної поліції в Київській області,Заступник начальника ГУ-начальник Слідчого управління,slidchi,,30000,,5000,35450,Київ
Осіпов Юрій Володимирович,Одеський апеляційний адміністративний суд,суддя,suddia,370940,52000,,7400,74332,Одеса
Оскірко Аліса Олексіївна,"Міністерство юстиції України, ",начальник відділу акредитації та моніторингу суб'єктів державної реєстрації Департаменту державної реєстрації та нотаріату,ministerstvo,,39200,,,39200,
Осмоловський Володимир Анатолійович,Міністерство внутрішніх справ України,Начальник відділу координації та нормативно-методичного забезпечення заходів технічного та криптографічного захисту інформації департаменту режиму та питань службової діяльності ,ministerstvo,12000,20000,,5000,25911,
Остапенко Вікторія Олександрівна,Апеляційний суд Дніпропетровської області,Суддя,suddia,275000,40000,,,50576,Дніпропетровськ
ОСТАПЕНКО ОЛЕГ ГРИГОРОВИЧ,Державна служба України у справах ветеранів війни та учасників антитерористичної операції,Завідувач сектору,,,1000000,,,1000000,
Остапенко Тетяна Анатоліївна,Господарський суд Херсонської області,суддя,suddia,22529,36223,,2450,39760,Херсон
Остапишин Мирослав Дмитрович,"Сватівська об""єднана державна податкова інспекція Головного управління ДФС в Луганській області","Перший заступник начальника Сватівської об""єднаної державної податкової інспекції ГУ ДФС в Луганській області",inspector,900000,,,,34615,Луганськ
Остапчук Віктор Миколайович,Верховна Рада України,народний депутат України,deputat,719601,,,8808,37277,
Остапчук Вікторія Олександрівна,Тернопільська міська рада,Заступник міського голови з питань діяльності виконавчих органів ради ,golova,,32000,,,32000,Тернопіль
Острікова Тетяна Георгіївна,Верховна Рада України,"Народний депутат України, Голова підкомітету з питань митної справи та удосконалення Митного кодексу України Комітету ВРУ з питань податкової та митної політики",deputat,2890708,180000,,20000,312981,
Острович Сергій Ернестович,Вищий адміністративний суд України,Суддя,suddia,3850000,,,,148076,
Осуховський Олег Іванович,Верховна Рада України,"Народний депутат України, член Комітету з питань запобігання і протидії корупції Верховної Ради України",deputat,203279,,92000,,118218,
Охендовський Михайло Володимирович,Центральна виборча комісія,Голова Центральної виборчої комісії,,2572929,525043,,697,624761,
Охотницька Наталія Володимирівна,Господарський суд Тернопільської області,Заступник голови господарського суду Тернопільської області,golova,720000,,,,27692,Тернопіль
Охрімчук Людмила Іванівна,Верховний суд України,Суддя,suddia,693117,25000,,,51658,
П'ятниківський Олександр Анатолійович,Дарницьке УП ГУНП у м. Києві,заступник начальника управління поліції,slidchi,,42800,,,42800,
Павелко Андрій Васильович,Верховна Рада України,"Народний депутат України, Голова Комітету Верховної Ради України з питань бюджету",deputat,1629087,360221,,650462,1131881,
Павленко Юрій Олексійович,Верховна Рада України восьмого скликання,"народний депутат України, член Комітету Верховної Ради України з питань свободи слова та інформаційної політики",deputat,343998,80000,,,93230,
Павленко Юрій Павлович,Новомиколаївська районна рада Запорізької області,голова Новомиколаївської районної ради Запорізької області,golova,1200959,,,,46190,Запоріжжя
ПАВЛИШИН ІГОР МИРОСЛАВОВИЧ,Іршавська районна державна адміністрація Закарпатської області,Перший заступник голови,,10955000,,,,421346,Закарпаття
ПАВЛІЧЕНКО СЕРГІЙ ВІКТОРОВИЧ,Апеляційний суд Закарпатської області,суддя,suddia,375000,32000,,,46423,Закарпаття
Павлов Костянтин Юрійович,Верховна Рада України,Народний депутат України,deputat,112054,140897,,12700,159049,
Павловський Дмитро Павлович,Дніпропетровський окружний адміністративний суд,суддя,suddia,,25000,,,25000,Дніпропетровськ
Павлюк Василь Михайлович,Міністерство закордонних справ України (Генеральне консульство України в Любліні Республіка Польща),Генеральний консул України в Любліні,ministerstvo,350000,82000,,,95461,
Павлюк Ірина Юріївна,Рівненський апеляційний господарський суд,суддя,suddia,,57000,,,57000,Рівне
Пазичев Володимир Миколайович,Господарський суд Львівської області,суддя,suddia,,18200,4100,3600,27044,Львів
Паламар Петро Іванович,господарський суд міста Києва,суддя,suddia,249597,91149,,13193,115129,
Паламарчук Микола Петрович,Верховна Рада України,Народний депутат України,deputat,1177000,221000,,82000,355649,
Палатний Артур Леонідович,Верховна Рада України,Народний депутат України,deputat,979973,581000,,8000,627411,
ПАЛИЦЯ ІГОР ПЕТРОВИЧ,Волинська обласна рада,Голова ради,golova,23082222,750000,,,1637777,Луцьк
Палій Валентин Валерійович,Вищий господарський суд України,Суддя,suddia,180000,20000,,,26923,
Панкеєв Олександр Вікторович,Апеляційний суд Запорізької області,суддя,suddia,68,17000,,12000,30082,Запоріжжя
Панна Світлана Павлівна,Господарський суд Дніпропетровської області ,Суддя,suddia,53837,42854,,,44924,Дніпропетровськ
Панов Сергій Федорович,Богодухівська районна рада Харківської області,Голова,golova,259457,309335,,50000,373814,Харків
Панова Ганна Валеріївна,Київський окружний адміністративний суд,суддя,suddia,,35103,,4000,39463,Київ
Панок Геннадій Григорович,Верховна Рада України,Завідувач секретаріату фракції ,deputat,7859470,,,,302287,
Пантелеєв Петро Олександрович,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),Заступник голови Київської міської державної адміністрації,golova,120000,20000,,3000,27885,Київ
Панченко Віталій Миколайович,Військова прокуратура сил антитерористичної операції,Заступник військового прокурора сил антитерористичної операції,prokuratura,615738,1000,,2000,26862,
Панченко Наталія Дмитрівна,Київський окружний адміністративний суд,суддя,suddia,,25000,,5000,30450,Київ
Панченко Олександр Сергійович,Національна комісія з цінних паперів та фондового ринку,Член Комісії,,109914,2335915,,905347,3326970,
Панчишин Михайло Ярославович,Генеральна прокуратура України,прокурор відділу,prokuratura,,70000,,,70000,
Панчишина Оксана Олександрівна,Прокуратура міста Києва,прокурор відділу,prokuratura,,70000,,,70000,
Панчук Валентин Іванович,Крижопільська районна державна адміністрація,Голова районної державної адміністрації,golova,845773,,,,32529,
Панчук Петро Володимирович,Глибоцька районна рада,голова Глибоцької районної ради,golova,692190,37500,,,64122,
Папієв Михайло Миколайович,Верховна Рада України,Голова підкомітету з питань депутатської етики Комітету Верховної Ради України з питань Регламенту та організації роботи Верховної Ради України,deputat,985000,206,,,38090,
Парінов Андрій Борисович,Київський апеляційний адміністративний суд,суддя,suddia,,25200,,,25200,Київ
Парубій Андрій Володимирович,Верховна Рада України,Голова Верховної Ради України,deputat,225000,28500,,,37153,
Парусніков Юрій Борисович,Дніпропетровський апеляційний господарський суд,заступник голови суду,golova,53251,42000,,,44048,Дніпропетровськ
Пархоменко Наталія Володимирівна,Дніпропетровський апеляційний господарський суд,суддя,suddia,272775,30000,,,40491,Дніпропетровськ
Пархоменко Тімур Костянтинович,Спеціалізована Державна податкова інспекція з обслуговування великих платників у м. Харкові МГУ ДФС,Начальник відділу організації викриття економічних злочинів оперативного управління,inspector,730000,,,,28076,Харків
Пархоменко Юрій Миколайович,ДФС України,начальник ввіділу,,1420000,365000,,,419615,
Парцхаладзе Лев Ревазович,Київська обласна державна адміністрація,перший заступник голови,,1030615,769516,,3000,812425,Київ
Пасинок Вікторія Сергіївна,Голосіївський районний суд міста Києва,суддя,suddia,80000,30000,,,33076,
Пастух Дем'ян Євгенович,"Міністерство регіонального розвитку, будівництва та ЖКГ України",Директор департаменту,ministerstvo,,44000,,,44000,
Пастух Ігор Олександрович,Києво-Святошинська місцева прокуратура Київської області,прокурор відділу,prokuratura,110000,19000,,6000,29770,Київ
Пастух Тарас Тимофійович,Верховна рада України,Народний депутат України,deputat,,110000,,,110000,
Пасько Сергій Олексійович,Міністерство закордонних справ,Надзвичайний і Повноважний Посол України в Йорданії,ministerstvo,57655,274650,,9350,287059,
Пацкан Валерій Васильович,Верховна Рада України,Народний депутат України,deputat,,300000,,,300000,
Пашинський Сергій Володимирович,Верховна Рада України,Народний депутат України,deputat,7500000,350000,,140000,791061,
Пащенко Віктор Петрович,Державна інспекція ядерного регулювання України,Заступник начальника Управління з питань ядерної захищеності та гарантій - начальник відділу фізичного захисту ядерних установок - державний інспектор,inspector,,20000,,5000,25450,
Пащенко Костянтин Сергійович,Окружний адміністративний суд міста Києва,суддя,suddia,82805,21000,,,24184,
Пащенко Людмила Василівна,"Міністерство регіонального розвитку, будівництва та житлово-комунального господарства",начальник відділу державних програм та розвитку систем житлово-комунального господарства Департаменту систем життєзабезпечення та житлової політики ,ministerstvo,,120693,,,120693,
Первушин Юрій Юрійович,Господарський суд Дніпропетровської області,суддя,suddia,,16000,,8000,24720,Дніпропетровськ
Перевезенцев Олексій Юрійович,Міністерство економічного розвитку і торгівлі України,директор юридичного департаменту,ministerstvo,200000,50000,,,57692,
Передерко Дмитро Петрович,Малиновський районний суд міста Одеси,суддя,suddia,,145000,,,145000,Одеса
Перепелиця Сергій Олександрович,четвертий слідчий відділ управління з розслідування особливо важливих справ Головного слідчого управління Генеральної прокуратури України,слідчий в особливо важливих справах,prokuratura,,34000,,,34000,
Пермяков Олексій Олександрович,Амур-Нижньодніпровська районна у місті Дніпропетровську рада,Голова Амур-Нижньодніпровської районної у місті Дніпропетровську ради,golova,1524154,,,,58621,Дніпропетровськ
Перфілов Андрій Сергійович,Апеляційний суд Дніпропетровської області,заступник керівника апарату,suddia,890000,,,,34230,Дніпропетровськ
Перхун Сергій Олександрович,Маріупольська місцева прокуратура №1 Донецької області,керівник Маріупольської місцевої прокуратури №1,prokuratura,475000,7000,,790,26130,Донецьк
Перцова Тетяна Сергіївна,Харківський апеляційний адміністративний суд,суддя,suddia,552207,145077,,,166315,Харків
Петік Олександр Владиславович,Закарпатська обласна державна адміністрація,Заступник голови - керівник апарату облдержадміністрації,golova,,27000,,,27000,Закарпаття
Петренко Ігор Леонідович,Генеральна прокуратура України,заступник начальника відділу,prokuratura,963509,5000,,,42058,
Петренко Олег Миколайович,Верховна Рада України,Народний депутат України,deputat,,19000,,5500,24995,
Петренко Павло Дмитрович,Міністерство юстиції України,Міністр юстиції України,ministerstvo,870267,1538444,,85903,1665550,
Петрик Ігор Йосипович,Київський апеляційний адміністративний суд,суддя,suddia,92997,17400,12000,48000,87696,Київ
Петришин Марія Любомирівна,Прокуратура Львівської області,прокурор Львівської місцевої прокуратури №1,prokuratura,14500,58500,,,59057,Львів
Петріщева Ірина Валентинівна,Деснянський районний суд міста Києва,суддя,suddia,736000,43500,,,71807,
Петров Дмитро Васильович,Генеральна прокуратура України,заступник начальника Департаменту нагляду у кримінальному провадженні - начальник управління нагляду за додержанням законів національною поліцією Генеральної прокуратури України,prokuratura,,182000,,,182000,
Петрюченко Мирослава Іванівна,Іллічівський міський суд Одеської області,суддя,suddia,,115000,,,115000,Одеса
Петухов Сергій Ігорович,Міністерство юстиції україни,Заступник міністра з питань європейської інтеграції,ministerstvo,,324000,,,324000,
